,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model
19,test,9,0.4991,0.9259,0.005708178246021271,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
0,train,0,0.56444,0.94974,249.10863137245178,4.9,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
1,test,0,0.4976,0.9271,0.0057088587641716,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
2,train,1,,,248.21271336078644,4.9,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
3,test,1,,,,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
4,train,2,,,245.55460155010223,5.0,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
5,test,2,,,,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
6,train,3,,,246.98622584342957,5.0,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
7,test,3,,,,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
8,train,4,,,244.62192380428314,5.0,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
9,test,4,,,,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
10,train,5,0.55614,0.94514,246.3450779914856,5.0,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
11,test,5,0.49,0.9223,0.005805755841732025,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
12,train,6,,,243.70276701450348,5.1,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
13,test,6,,,,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
14,train,7,,,242.79992926120758,5.2,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
15,test,7,,,,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
16,train,8,,,242.68723726272583,5.4,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
17,test,8,,,,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
18,train,9,0.56846,0.94786,242.3264535665512,5.0,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
19,test,9,0.4956,0.9193,0.005739083874225616,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
