,Unnamed: 0,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model,train_strategy,model_strategy,round
12,12,train,6,,,,4.9,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
13,13,test,6,,,,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
14,14,train,7,0.47146,0.91252,0.0060051600670814,4.9,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
15,15,test,7,0.4508,0.9068,0.0061892493367195,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
16,0,train,0,0.46444,0.90458,0.0060607276368141,4.9,1,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
17,1,test,0,0.4523,0.8999,0.0061945977449417,,1,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
18,2,train,1,,,,4.9,1,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
19,3,test,1,,,,,1,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
20,4,train,2,,,,4.9,1,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
21,5,test,2,,,,,1,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
22,6,train,3,,,,4.9,1,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
23,7,test,3,,,,,1,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
24,8,train,4,,,,4.9,1,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
25,9,test,4,,,,,1,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
26,10,train,5,0.50914,0.9283,0.0055718764209747,5.0,1,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
27,11,test,5,0.4847,0.9141,0.0058517700076103,,1,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
28,12,train,6,,,,4.9,1,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
29,13,test,6,,,,,1,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
30,14,train,7,0.51622,0.93022,0.0054784097671508,4.9,1,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
31,15,test,7,0.4823,0.9213,0.0058319952845573,,1,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
32,0,train,0,0.51128,0.92824,0.0055374524903297,5.1,2,920842,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
33,1,test,0,0.4817,0.9162,0.0058332996726036,,2,920842,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
34,2,train,1,,,,5.0,2,920842,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
35,3,test,1,,,,,2,920842,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
36,4,train,2,,,,5.0,2,920842,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
37,5,test,2,,,,,2,920842,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
38,6,train,3,,,,4.9,2,920842,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
39,7,test,3,,,,,2,920842,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
40,8,train,4,,,,4.9,2,920842,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
41,9,test,4,,,,,2,920842,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
42,10,train,5,0.51542,0.93304,0.0054481060862541,4.9,2,920842,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
43,11,test,5,0.4726,0.9199,0.0058791920423507,,2,920842,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
44,12,train,6,,,,4.8,2,920842,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
45,13,test,6,,,,,2,920842,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
46,14,train,7,0.54194,0.93878,0.0052209170413017,4.8,2,920842,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
47,15,test,7,0.4958,0.9252,0.0056880921959877,,2,920842,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
48,0,train,0,0.53838,0.93948,0.0052159553813934,4.9,3,986634,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
49,1,test,0,0.4944,0.9249,0.0056648605942726,,3,986634,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
50,2,train,1,,,,4.9,3,986634,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
51,3,test,1,,,,,3,986634,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
52,4,train,2,,,,4.9,3,986634,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
53,5,test,2,,,,,3,986634,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
54,6,train,3,,,,4.9,3,986634,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
55,7,test,3,,,,,3,986634,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
56,8,train,4,,,,5.0,3,986634,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
57,9,test,4,,,,,3,986634,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
58,10,train,5,0.53692,0.93858,0.0052165297341346,4.9,3,986634,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
59,11,test,5,0.4898,0.9236,0.0057432458877563,,3,986634,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
60,12,train,6,,,,4.9,3,986634,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
61,13,test,6,,,,,3,986634,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
62,14,train,7,0.5442,0.94022,0.0051648735523223,4.9,3,986634,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
63,15,test,7,0.4919,0.9229,0.0057326733350753,,3,986634,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
64,0,train,0,0.54208,0.93718,0.0052115477085113,5.0,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
65,1,test,0,0.4885,0.92,0.0058014449000358,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
66,2,train,1,,,,5.0,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
67,3,test,1,,,,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
68,4,train,2,,,,5.0,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
69,5,test,2,,,,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
70,6,train,3,,,,4.9,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
71,7,test,3,,,,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
72,8,train,4,,,,4.9,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
73,9,test,4,,,,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
74,10,train,5,0.55744,0.94448,0.0050356960177421,5.0,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
75,11,test,5,0.5028,0.9233,0.0056844142794609,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
76,12,train,6,,,,5.0,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
77,13,test,6,,,,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
78,14,train,7,0.55824,0.94416,0.0050336467528343,4.9,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
79,15,test,7,0.4933,0.9251,0.0057619077801704,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
80,0,train,0,0.56964,0.94854,0.0049001633954048,5.0,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
81,1,test,0,0.5006,0.9266,0.0055985589146614,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
82,2,train,1,,,,5.0,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
83,3,test,1,,,,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
84,4,train,2,,,,4.9,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
85,5,test,2,,,,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
86,6,train,3,,,,4.9,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
87,7,test,3,,,,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
88,8,train,4,,,,4.9,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
89,9,test,4,,,,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
90,10,train,5,0.56904,0.94666,0.0049145170235633,4.9,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
91,11,test,5,0.499,0.9273,0.0056998316645622,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
92,12,train,6,,,,5.0,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
93,13,test,6,,,,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
94,14,train,7,0.56072,0.94678,0.0049495033812522,5.0,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
95,15,test,7,0.4859,0.9247,0.0057836855053901,,5,1118218,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
