,Unnamed: 0,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model,round,train_strategy,model_strategy
69,5,test,2,,,,,4,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
70,6,train,3,,,,4.8,4,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
71,7,test,3,,,,,4,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
72,8,train,4,,,,5.0,4,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
73,9,test,4,,,,,4,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
74,10,train,5,0.60168,0.95494,0.0045773168873786,5.1,4,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
75,11,test,5,0.5609,0.9486,0.0049751281261444,,4,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
76,12,train,6,,,,5.1,4,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
77,13,test,6,,,,,4,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
78,14,train,7,0.60664,0.95664,0.004563638061285,5.1,4,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
79,15,test,7,0.5654,0.9493,0.0049607011795043,,4,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
80,0,train,0,0.5991,0.95434,0.0046107980537414,5.2,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
81,1,test,0,0.5593,0.946,0.0050040108084678,,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
82,2,train,1,,,,5.2,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
83,3,test,1,,,,,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
84,4,train,2,,,,5.0,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
85,5,test,2,,,,,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
86,6,train,3,,,,4.9,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
87,7,test,3,,,,,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
88,8,train,4,,,,5.1,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
89,9,test,4,,,,,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
90,10,train,5,0.6024,0.95602,0.0045928209090232,5.0,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
91,11,test,5,0.5631,0.9479,0.0049875845193862,,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
92,12,train,6,,,,4.9,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
93,13,test,6,,,,,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
94,14,train,7,0.59584,0.95412,0.0046242673146724,5.0,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
95,15,test,7,0.5524,0.9445,0.0050330251574516,,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
0,0,train,0,0.42948,0.89508,0.0064303216528892,5.0,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
1,1,test,0,0.4277,0.8925,0.0064401952981948,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
2,2,train,1,,,,5.1,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
3,3,test,1,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
4,4,train,2,,,,5.0,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
5,5,test,2,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
6,6,train,3,,,,5.0,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
7,7,test,3,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
8,8,train,4,,,,5.0,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
9,9,test,4,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
10,10,train,5,0.53598,0.9361,0.0053111880993843,5.1,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
11,11,test,5,0.5162,0.9323,0.005451604950428,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
12,12,train,6,,,,5.1,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
13,13,test,6,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
14,14,train,7,0.54476,0.94024,0.0052111613845825,5.0,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
15,15,test,7,0.5201,0.9357,0.0053735495448112,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
16,0,train,0,0.51654,0.92972,0.0055876866936683,5.1,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
17,1,test,0,0.4966,0.9296,0.0056958528876304,,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
18,2,train,1,,,,5.0,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
19,3,test,1,,,,,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
20,4,train,2,,,,5.3,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
21,5,test,2,,,,,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
22,6,train,3,,,,5.1,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
23,7,test,3,,,,,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
24,8,train,4,,,,4.9,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
25,9,test,4,,,,,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
26,10,train,5,0.5419,0.93728,0.0052701098036766,5.0,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
27,11,test,5,0.5247,0.933,0.0054298993349075,,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
28,12,train,6,,,,4.9,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
29,13,test,6,,,,,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
30,14,train,7,0.55002,0.93898,0.0052084689855575,5.1,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
31,15,test,7,0.5269,0.935,0.005384934592247,,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
32,0,train,0,0.53846,0.93808,0.0053268882989883,4.8,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
33,1,test,0,0.52,0.9339,0.0054866165876388,,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
34,2,train,1,,,,5.1,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
35,3,test,1,,,,,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
36,4,train,2,,,,5.0,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
37,5,test,2,,,,,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
38,6,train,3,,,,4.9,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
39,7,test,3,,,,,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
40,8,train,4,,,,5.1,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
41,9,test,4,,,,,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
42,10,train,5,0.54914,0.94014,0.00521668135643,5.2,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
43,11,test,5,0.5223,0.9347,0.0054148572921752,,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
44,12,train,6,,,,5.1,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
45,13,test,6,,,,,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
46,14,train,7,0.55546,0.94276,0.0051441326546669,5.1,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
47,15,test,7,0.5304,0.9365,0.0053516998529434,,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
48,0,train,0,0.55376,0.94202,0.0051343522024154,5.3,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
49,1,test,0,0.5231,0.9383,0.0053424460530281,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
50,2,train,1,,,,5.0,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
51,3,test,1,,,,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
52,4,train,2,,,,5.1,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
53,5,test,2,,,,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
54,6,train,3,,,,5.1,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
55,7,test,3,,,,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
56,8,train,4,,,,5.1,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
57,9,test,4,,,,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
58,10,train,5,0.55596,0.94434,0.0050824889397621,5.1,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
59,11,test,5,0.5274,0.9411,0.0053138635516166,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
60,12,train,6,,,,5.1,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
61,13,test,6,,,,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
62,14,train,7,0.56592,0.94526,0.0050274360728263,5.1,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
63,15,test,7,0.5337,0.9397,0.0052670958161354,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
64,0,train,0,0.55394,0.9421,0.0051245484495162,5.4,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
65,1,test,0,0.5223,0.9349,0.0053519890069961,,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
66,2,train,1,,,,4.9,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
67,3,test,1,,,,,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
68,4,train,2,,,,5.0,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
69,5,test,2,,,,,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
70,6,train,3,,,,5.1,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,layerwise,CNN_layerwise
